campaign_type,Platform,content_type,total_spend,Impressions,Engagement
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,2400.0,204959,10091
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,174.09,260117,18735
BAU,TIKTOK,OWNED - BOOSTED ONLY,875.13,487993,42668
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,267.38,467547,33408
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,57.98,264455,12575
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,2004.66,185562,14819
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,464.57,705283,44149
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,22948.04,351764,13649
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,178.37,1063291,129524
MM,TIKTOK,PAID - PARTNERSHIP,4082.6,370568,28325
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,56.06,448397,43832
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,14622.47,3297996,356162
BAU,INSTAGRAM,PAID - PARTNERSHIP,1389.3,221017,6239
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,1051.46,333691,11291
FLOOD THE FEED,TIKTOK,PAID - BRAND,3746.33,486280,32672
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,2981.88,447510,15574
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,3762.3,968165,71654
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,76.85,190822,10704
MM,META,PAID - BRAND,872.28,264500,9902
MM,META,PAID - PARTNERSHIP,4419.77,400854,18627
MM,META,PAID - BRAND,2425.86,469125,13098
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,4438.37,528442,15254
MM,META,PAID - BRAND,2437.14,871724,33147
BAU,TIKTOK,PAID - BRAND,12683.99,985020,48555
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4007.7,326923,26761
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,7507.49,861736,63469
BAU,META,PAID - PARTNERSHIP,1517.34,281917,12154
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,341.8,236131,19217
MM,INSTAGRAM,OWNED - BOOSTED ONLY,477.68,160750,8119
BAU,INSTAGRAM,PAID - BRAND,1510.4,577316,24452
MM,META,INFLUENCER - CFG - BOOSTED ONLY,4678.4,742652,30397
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,14166.96,618019,40808
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,597.18,130338,8795
MM,META,INFLUENCER - CFG - BOOSTED ONLY,5242.82,299234,13277
BAU,TIKTOK,PAID - BRAND,16125.42,232401,18259
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,772.07,547100,26769
MM,INSTAGRAM,PAID - BRAND,7367.11,226233,8273
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,154.61,93435,5881
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1380.47,223547,11943
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,63.85,432622,64893
BAU,INSTAGRAM,PAID - PARTNERSHIP,9671.19,244226,10833
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,151.79,275869,16260
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,452.29,324663,33828
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,5754.36,487724,53713
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,268.22,94854,5366
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,164.33,505571,29283
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,34.21,206138,14065
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,3866.14,234538,11581
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,27855.76,198541,13936
MM,TIKTOK,PAID - PARTNERSHIP,2553.24,181405,10324
BAU,INSTAGRAM,PAID - PARTNERSHIP,36033.53,265718,13668
MM,META,INFLUENCER - CFG - BOOSTED ONLY,450.23,312821,16100
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1850.9,1010987,86047
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,562.74,637713,39988
BAU,TIKTOK,PAID - BRAND,16485.29,1225929,43396
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,883.34,324615,18156
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,6000.14,499090,35124
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,1844.99,673522,34600
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,68480.76,146955,11929
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,62032.23,520415,19466
MM,META,INFLUENCER - CFG - BOOSTED ONLY,1743.82,436692,37972
BAU,META,PAID - BRAND,108.01,654471,12295
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,113.68,181170,18157
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,271.19,731837,88654
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,385.77,469530,34646
MM,META,PAID - PARTNERSHIP,5646.72,365356,10850
FLOOD THE FEED,META,PAID - PARTNERSHIP,6196.92,1606722,54622
BAU,TIKTOK,PAID - PARTNERSHIP,8774.78,198085,8920
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,6054.82,1412662,141453
MM,TIKTOK,PAID - PARTNERSHIP,1863.88,478304,19721
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,7381.8,709962,33475
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,92.75,271620,20014
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,2699.44,1636793,136789
BAU,TIKTOK,OWNED - BOOSTED ONLY,1741.48,230948,19055
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,123.81,75980,7589
MM,TIKTOK,PAID - BRAND,25069.43,405175,11109
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,13511.15,285298,19529
MM,TIKTOK,OWNED - BOOSTED ONLY,155.22,611738,28074
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,8920.85,382998,15189
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,1618.81,658567,26921
MM,TIKTOK,PAID - BRAND,7162.54,1793935,53857
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,747.86,158572,8137
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,405.26,450110,53412
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,2461.87,817494,28563
MM,INSTAGRAM,PAID - PARTNERSHIP,2927.39,131955,7063
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,11274.86,397713,13110
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,4017.53,549579,35737
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,19028.12,206874,13395
BAU,META,PAID - BRAND,17832.2,117110,3712
FLOOD THE FEED,META,PAID - PARTNERSHIP,1399.3,481051,19221
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,91.17,154227,13088
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,583.55,359103,25360
MM,INSTAGRAM,PAID - PARTNERSHIP,532.09,381679,21047
MM,TIKTOK,PAID - BRAND,223.92,304448,20908
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,55.64,80911,6245
MM,TIKTOK,PAID - PARTNERSHIP,9653.6,446116,22374
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,25173.69,1256604,129447
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,3387.94,206557,8694
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,250.26,225278,17288
FLOOD THE FEED,TIKTOK,PAID - BRAND,7908.36,335174,22058
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,667.08,411508,39922
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,1091.89,1432169,144318
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,2264.72,856291,73759
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,1842.72,1194039,73691
MM,META,INFLUENCER - CFG - BOOSTED ONLY,6289.36,773419,50555
MM,INSTAGRAM,PAID - BRAND,10492.44,220182,7151
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,572.36,382221,34764
FLOOD THE FEED,TIKTOK,PAID - BRAND,5923.36,2224580,106600
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,8128.34,229104,9791
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,8461.71,817239,67342
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2677.4,192038,12422
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,361.54,252680,14798
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,3212.04,420004,19844
BAU,META,OWNED - BOOSTED ONLY,8503.58,338706,15546
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,87.7,45288,3172
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1453.52,137887,8964
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,100.28,209256,16921
BAU,META,PAID - PARTNERSHIP,8311.16,135103,6996
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4411.08,686256,64477
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,207.61,698001,33828
FLOOD THE FEED,TIKTOK,PAID - BRAND,391.9,283898,19027
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,1159.92,956615,43986
MM,META,OWNED - BOOSTED ONLY,230.2,133899,7682
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,2359.38,298730,15044
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,6327.59,1217213,101503
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1737.75,146377,9930
FLOOD THE FEED,TIKTOK,PAID - BRAND,4404.67,450317,16220
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,4992.45,747211,43464
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,955.52,479145,34859
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,11331.0,2084594,115015
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,739.32,278596,13754
MM,META,INFLUENCER - CFG - BOOSTED ONLY,2630.27,208213,9095
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,661.21,439841,21556
FLOOD THE FEED,META,PAID - PARTNERSHIP,1009.68,552190,16871
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,1983.3,1203224,69075
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,424.38,891002,87288
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,532.51,896271,109188
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,48.3,137515,9405
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,4479.39,596637,31719
BAU,INSTAGRAM,PAID - BRAND,5356.38,116101,6104
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,17229.62,315953,16840
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,299.87,385708,32970
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,2715.45,879367,31502
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,6952.86,254405,9700
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,124.67,404675,30425
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,2447.42,1194651,62876
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,267.77,1172839,159760
MM,TIKTOK,OWNED - BOOSTED ONLY,429.06,573790,32566
FLOOD THE FEED,META,PAID - BRAND,4425.91,684374,18371
MM,META,OWNED - BOOSTED ONLY,919.98,186593,5613
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,856.0,630439,48826
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,8292.26,2694013,217318
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,4268.88,1009781,69803
MM,INSTAGRAM,OWNED - BOOSTED ONLY,3340.69,376886,22997
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,43.05,265910,17489
BAU,INSTAGRAM,PAID - PARTNERSHIP,948.68,225053,13260
MM,META,PAID - BRAND,2177.71,702688,41128
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,916.92,287652,30249
BAU,META,PAID - BRAND,8798.56,286802,12773
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,38.92,332828,23311
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,39303.42,2176688,166027
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,1307.23,1348980,108095
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2784.67,590280,31857
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,2919.72,416073,23684
MM,TIKTOK,OWNED - BOOSTED ONLY,25989.5,219018,18449
BAU,META,OWNED - BOOSTED ONLY,1961.68,206951,10388
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,4964.55,577683,59319
FLOOD THE FEED,META,PAID - PARTNERSHIP,1813.54,354575,9217
BAU,META,PAID - PARTNERSHIP,864.27,1605555,83964
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,392.83,341459,35510
MM,INSTAGRAM,PAID - PARTNERSHIP,6774.34,405188,18016
BAU,INSTAGRAM,PAID - BRAND,2469.62,301495,11879
BAU,TIKTOK,PAID - PARTNERSHIP,106.81,296694,13788
MM,INSTAGRAM,OWNED - BOOSTED ONLY,3877.0,1458060,85958
BAU,TIKTOK,OWNED - BOOSTED ONLY,1862.56,594217,45329
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,225.9,376168,35136
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,47.9,211122,8058
BAU,TIKTOK,OWNED - BOOSTED ONLY,6858.67,210092,12234
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,110.49,240128,21255
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,460.09,787132,57258
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,451.35,265047,18556
MM,META,PAID - PARTNERSHIP,113558.65,536421,12773
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,1277.73,1299142,145850
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,30.39,41665,3681
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,219.12,82648,6520
BAU,META,PAID - BRAND,57.19,251504,7991
FLOOD THE FEED,META,PAID - PARTNERSHIP,11925.15,305542,11285
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,743.87,683406,34480
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,98.68,137013,8395
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,350.18,155158,7910
BAU,TIKTOK,OWNED - BOOSTED ONLY,339.38,260676,16947
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,151932.2,257887,19205
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,402.16,170401,19407
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,5209.08,467376,24287
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,18682.7,885309,35222
BAU,TIKTOK,PAID - PARTNERSHIP,412.04,325786,15376
FLOOD THE FEED,TIKTOK,PAID - BRAND,2710.02,1646766,68911
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,2795.5,758607,58709
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,102.48,277495,21287
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,18035.88,365143,8235
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,275.81,252782,14860
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1168.51,227550,13665
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,109.03,643685,37365
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,7921.08,317993,16164
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,2951.94,515382,33253
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,991.02,744480,49187
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,26469.11,1015627,69491
BAU,META,PAID - BRAND,3380.37,733011,23872
MM,TIKTOK,OWNED - BOOSTED ONLY,819.23,911945,74206
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,1533.69,290037,17119
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,235.85,196624,10879
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,38175.0,686254,52318
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,12233.9,153654,12465
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,44979.38,747320,33380
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1120.88,158292,9006
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,1709.98,263546,17475
BAU,TIKTOK,OWNED - BOOSTED ONLY,11538.17,216753,22565
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,247.35,260040,14345
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,10740.62,464223,54570
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,3857.44,677598,34287
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,778.52,841037,41763
BAU,META,PAID - PARTNERSHIP,5971.83,132885,6170
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,469.29,505711,46857
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,1048.21,752597,73238
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,1328.41,314374,9421
MM,TIKTOK,OWNED - BOOSTED ONLY,5036.54,168556,11447
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,2007.87,1237633,101737
MM,TIKTOK,PAID - BRAND,1818.61,794354,42160
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,203.6,275445,11677
MM,TIKTOK,PAID - PARTNERSHIP,9275.98,747772,33071
MM,META,PAID - BRAND,2067.05,359563,9945
FLOOD THE FEED,TIKTOK,PAID - BRAND,4918.65,1905356,126519
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,416.41,733413,98341
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,5325.24,1247522,150580
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,413.11,174455,12030
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3704.6,861405,69769
BAU,TIKTOK,PAID - BRAND,31104.88,299135,22738
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,244.66,90717,6807
BAU,META,PAID - BRAND,127.74,383365,14399
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1225.94,617486,85229
BAU,INSTAGRAM,PAID - BRAND,1396.02,127419,7631
MM,META,PAID - PARTNERSHIP,56606.6,402409,19622
MM,INSTAGRAM,PAID - BRAND,22297.14,211486,7020
BAU,INSTAGRAM,PAID - BRAND,18888.56,750524,34121
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,796.54,615452,27710
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1803.16,287324,24182
BAU,INSTAGRAM,PAID - PARTNERSHIP,10731.77,318452,17564
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3182.02,785322,33091
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,1910.44,376706,14402
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,218.4,102553,11669
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,31556.33,380423,13961
MM,META,INFLUENCER - CFG - BOOSTED ONLY,2667.98,379202,23158
MM,META,OWNED - BOOSTED ONLY,955.83,143583,6853
FLOOD THE FEED,META,PAID - PARTNERSHIP,7664.04,339321,15979
BAU,META,PAID - PARTNERSHIP,1155.9,323445,14893
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,2834.39,589683,19393
MM,TIKTOK,OWNED - BOOSTED ONLY,2220.08,365738,19294
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,124.37,79756,4625
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,111.62,167314,13072
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2717.19,929011,115939
MM,META,INFLUENCER - CFG - BOOSTED ONLY,1124.79,231082,9736
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1435.4,249629,14266
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,426.59,721071,73094
FLOOD THE FEED,META,PAID - PARTNERSHIP,7277.51,392529,12484
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,742.45,767067,53522
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,263.26,50165,2269
MM,INSTAGRAM,OWNED - BOOSTED ONLY,4682.84,274042,32458
MM,INSTAGRAM,PAID - BRAND,5037.68,168553,6289
FLOOD THE FEED,TIKTOK,PAID - BRAND,207.6,650546,24321
BAU,META,OWNED - BOOSTED ONLY,11767.37,192123,7346
BAU,TIKTOK,PAID - BRAND,1149.02,1182744,51555
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,46575.76,1297706,143964
MM,TIKTOK,PAID - PARTNERSHIP,5182.79,637766,21461
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,1961.91,1365648,121118
BAU,INSTAGRAM,PAID - PARTNERSHIP,362.21,202312,16191
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,19347.87,337147,32293
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,1720.28,116626,4772
MM,META,PAID - PARTNERSHIP,31080.41,331749,11102
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,1901.2,1225652,107796
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,83130.78,445304,23356
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,306.44,573403,29083
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,184.34,124820,8787
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,849.04,271176,13287
BAU,TIKTOK,OWNED - BOOSTED ONLY,1309.76,553346,26217
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,4149.79,886647,36486
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,72.39,298006,35662
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3988.46,619640,64480
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,570.53,460247,28094
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,109.09,67319,3467
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,6649.03,1826442,135773
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,234.72,58240,4105
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,143.87,81961,3119
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,76.11,129849,8248
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,103.82,77752,4977
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,5922.59,125333,7120
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,1353.74,1657135,85038
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,5294.82,403100,11232
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,9436.22,541588,24979
MM,META,INFLUENCER - CFG - BOOSTED ONLY,1076640.99,185348,17910
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1936.87,279015,14532
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,97.1,78553,5827
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,306.2,1022087,54126
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,547.24,139748,10758
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,1335.41,555433,40145
FLOOD THE FEED,META,PAID - BRAND,9291.76,896939,44978
MM,META,PAID - PARTNERSHIP,2290.79,515889,19126
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,542.33,79249,6659
BAU,META,OWNED - BOOSTED ONLY,2225.98,237047,9649
MM,META,OWNED - BOOSTED ONLY,4351.87,285087,12040
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,31798.59,673357,47193
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,1505.21,203941,14341
MM,TIKTOK,OWNED - BOOSTED ONLY,11093.01,1083006,59632
MM,TIKTOK,PAID - BRAND,2112.6,192937,8232
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,402.05,163257,13294
FLOOD THE FEED,META,PAID - PARTNERSHIP,2240.03,628580,16037
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,161.61,23668,1127
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,258.34,1900606,230383
BAU,INSTAGRAM,PAID - BRAND,6002.95,644499,18617
MM,META,OWNED - BOOSTED ONLY,40988.42,593624,21897
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,462.03,112070,5880
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,1196.45,437754,21043
BAU,META,OWNED - BOOSTED ONLY,18669.09,233671,10285
BAU,TIKTOK,PAID - PARTNERSHIP,1267.08,131111,8530
FLOOD THE FEED,META,PAID - BRAND,169.29,462546,8836
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,58742.22,893367,36517
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,19842.08,219621,19853
BAU,META,PAID - BRAND,4022.73,371631,15677
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,8944.0,250895,8063
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,706.22,413852,30643
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,547.13,1296824,110368
MM,META,OWNED - BOOSTED ONLY,7355.31,327399,12165
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,714.89,729650,45406
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,42.87,160708,7731
